codigo_ies_padre,ies,ano,tasa,tipo,categoria,nivel_de_formacion,tasa_lag1,tasa_lag2,tasa_lag3,rolling_mean_3,rolling_std_3,tasa_predicha
4709.0,INSTITUCION UNIVERSITARIA EAM,2013,13.03,TDA,IES Padre Nivel Formacin,TyT,10.01,15.99,13.84,38.3267,42.4132,12.822299
4709.0,INSTITUCION UNIVERSITARIA EAM,2013,3.85,TDA,IES Padre Nivel Formacin,Universitario,4.08,0.0,0.0,10.6567,6.9227,6.351672
4714.0,FUNDACION INTERAMERICANA TECNICA-FIT-,2013,0.0,TDA,IES Padre Nivel Formacin,TyT,8.35,4.99,7.71,7.48,3.0592,8.378824
4719.0,FUNDACION DE EDUCACION SUPERIOR NUEVA AMERICA,2013,59.58,TDA,IES Padre Nivel Formacin,TyT,46.91,29.83,26.0,19.78,23.5921,32.821907
4721.0,FUNDACION UNIVERSITARIA HORIZONTE,2013,37.94,TDA,IES Padre Nivel Formacin,TyT,45.21,52.78,39.82,33.49,21.7885,38.167774
4726.0,FUNDACION UNIVERSITARIA SAN MATEO - SAN MATEO EDUCACION SUPERIOR,2013,18.09,TDA,IES Padre Nivel Formacin,TyT,22.4,23.94,21.41,38.1733,13.6865,21.822752
3831.0,CORPORACION UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA,2013,19.08,TDA,IES Padre Nivel Formacin,TyT,21.61,33.87,17.11,15.47,8.3593,20.644817
3834.0,CORPORACION TECNOLOGICA CATOLICA DE OCCIDENTE - TECOC -,2013,0.0,TDA,IES Padre Nivel Formacin,TyT,3.88,8.02,22.28,12.1733,8.9201,12.079984
3901.0,ESCUELA DE FORMACION DE INFANTERIA DE MARINA,2013,10.0,TDA,IES Padre Nivel Formacin,TyT,8.16,0.0,0.0,7.69,3.5981,8.54904
3902.0,ESCUELA  MILITAR DE SUBOFICIALES SARGENTO INOCENCIO CHINCA,2013,1.65,TDA,IES Padre Nivel Formacin,TyT,3.01,0.91,1.72,5.0167,2.7567,4.4552307
4101.0,INSTITUTO DE EDUCACION TECNICA PROFESIONAL DE ROLDANILLO,2013,18.41,TDA,IES Padre Nivel Formacin,TyT,18.75,21.74,23.75,9.9733,8.0252,19.268435
4101.0,INSTITUTO DE EDUCACION TECNICA PROFESIONAL DE ROLDANILLO,2013,20.0,TDA,IES Padre Nivel Formacin,Universitario,12.5,20.0,0.0,11.42,7.9254,12.533117
4102.0,INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL DE SAN JUAN DEL CESAR,2013,26.97,TDA,IES Padre Nivel Formacin,TyT,19.36,34.84,29.53,16.87,3.7968,22.66823
4102.0,INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL DE SAN JUAN DEL CESAR,2013,14.52,TDA,IES Padre Nivel Formacin,Universitario,6.56,8.7,12.96,12.8067,6.4055,8.00207
4106.0,INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL DE SAN ANDRES,2013,75.86,TDA,IES Padre Nivel Formacin,TyT,39.13,51.27,52.75,21.6833,16.4088,39.86533
4107.0,INSTITUTO TECNICO AGRICOLA ITA,2013,25.75,TDA,IES Padre Nivel Formacin,TyT,28.11,35.24,12.6,24.6,16.5663,25.51323
4108.0,ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL,2013,13.07,TDA,IES Padre Nivel Formacin,TyT,17.98,12.79,25.82,28.4067,10.5781,18.638456
4108.0,ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL,2013,0.0,TDA,IES Padre Nivel Formacin,Universitario,13.04,33.33,0.0,19.71,7.6825,13.21648
4109.0,INSTITUTO TECNICO NACIONAL DE COMERCIO SIMON RODRIGUEZ - INTENALCO,2013,6.04,TDA,IES Padre Nivel Formacin,TyT,28.33,20.58,38.45,19.7833,7.8029,23.522316
3810.0,CORPORACION EDUCATIVA -ITAE-,2013,21.45,TDA,IES Padre Nivel Formacin,TyT,20.91,25.95,27.78,20.76,7.6461,22.098587
3811.0,CORPORACION DE EDUCACION DEL NORTE DEL TOLIMA - COREDUCACION,2013,22.06,TDA,IES Padre Nivel Formacin,TyT,19.19,14.77,15.34,22.81,4.8572,17.873163
3812.0,INSTITUCION UNIVERSITARIA MARCO FIDEL SUAREZ - IUMAFIS,2013,14.68,TDA,IES Padre Nivel Formacin,TyT,14.01,18.4,12.36,18.0367,3.5917,14.621719
3817.0,CORPORACION UNIVERSITARIA AUTONOMA DE NARIO -AUNAR-,2013,40.35,TDA,IES Padre Nivel Formacin,TyT,36.24,53.33,68.63,23.1467,11.6312,42.360977
3817.0,CORPORACION UNIVERSITARIA AUTONOMA DE NARIO -AUNAR-,2013,16.06,TDA,IES Padre Nivel Formacin,Universitario,16.42,34.8,35.81,22.2233,12.1985,23.35252
3819.0,CORPORACION TECNOLOGICA INDUSTRIAL COLOMBIANA - TEINCO,2013,20.18,TDA,IES Padre Nivel Formacin,TyT,27.74,24.02,19.09,26.8,9.9434,23.533895
3819.0,CORPORACION TECNOLOGICA INDUSTRIAL COLOMBIANA - TEINCO,2013,3.12,TDA,IES Padre Nivel Formacin,Universitario,13.16,2.5,4.35,19.1067,7.6523,8.869131
3820.0,CORPORACION ACADEMIA TECNOLOGICA DE COLOMBIA -ATEC-,2013,24.02,TDA,IES Padre Nivel Formacin,TyT,21.08,17.68,11.86,20.66,7.2991,17.919012
3821.0,CORPORACION POLITECNICO DE LA COSTA ATLANTICA,2013,22.62,TDA,IES Padre Nivel Formacin,TyT,19.8,23.76,42.86,18.0133,4.2516,20.569492
3821.0,CORPORACION POLITECNICO DE LA COSTA ATLANTICA,2013,28.88,TDA,IES Padre Nivel Formacin,Universitario,30.95,7.32,100.0,23.9433,6.1016,32.223156
3823.0,UNION AMERICANA DE EDUCACION SUPERIOR- UNION AMERICANA,2013,100.0,TDA,IES Padre Nivel Formacin,TyT,20.11,63.83,29.5,23.62,6.3499,49.357403
3824.0,ESCUELA SUPERIOR DE CIENCIAS EMPRESARIALES - ECIEM,2013,18.07,TDA,IES Padre Nivel Formacin,TyT,16.41,14.2,14.89,22.49,7.5565,15.670126
3826.0,CORPORACION INTERNACIONAL PARA EL DESARROLLO EDUCATIVO -CIDE-,2013,25.21,TDA,IES Padre Nivel Formacin,TyT,19.92,21.11,27.81,18.8133,2.0835,19.949205
3826.0,CORPORACION INTERNACIONAL PARA EL DESARROLLO EDUCATIVO -CIDE-,2013,4.98,TDA,IES Padre Nivel Formacin,Universitario,7.38,3.99,9.22,14.57,6.4693,7.0762343
3828.0,TECNOLOGICA DEL SUR,2013,97.06,TDA,IES Padre Nivel Formacin,TyT,35.29,0.0,29.33,42.0,38.417,69.18826
3715.0,FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO,2013,14.56,TDA,IES Padre Nivel Formacin,TyT,14.33,13.95,21.53,44.3167,35.3746,16.842033
3716.0,TECNOLOGICA FITEC,2013,24.6,TDA,IES Padre Nivel Formacin,TyT,25.84,17.2,10.17,25.1533,10.4969,20.715698
3718.0,FUNDACION DE ESTUDIOS SUPERIORES COMFANORTE -F.E.S.C.-,2013,15.57,TDA,IES Padre Nivel Formacin,TyT,23.33,13.12,10.84,21.1667,6.0523,17.63807
3719.0,INSTITUCION UNIVERSITARIA LATINA - UNILATINA,2013,17.6,TDA,IES Padre Nivel Formacin,TyT,19.14,36.99,27.69,14.1567,12.4377,22.29012
3720.0,FUNDACION UNIVERSITARIA ESUMER,2013,12.53,TDA,IES Padre Nivel Formacin,TyT,11.5,15.69,9.56,10.2133,9.6347,12.584464
3720.0,FUNDACION UNIVERSITARIA ESUMER,2013,5.41,TDA,IES Padre Nivel Formacin,Universitario,7.91,7.95,5.61,6.47,5.8837,7.5482607
3725.0,FUNDACION TECNOLOGICA ALBERTO MERANI,2013,4.24,TDA,IES Padre Nivel Formacin,TyT,0.57,19.77,12.78,6.66,5.5712,12.248739
3801.0,CORPORACION DE ESTUDIOS TECNOLOGICOS DEL NORTE DEL VALLE,2013,11.14,TDA,IES Padre Nivel Formacin,TyT,16.38,26.28,36.67,8.2867,7.9117,20.673534
