PERIODO,NOMBRE_FACULTAD,NOMBRE_PROGRAMA,JORNADA,MODALIDAD,NOMBRE_SEDE,TIPO_IDEN_EST,FECHA_NACIMIENTO,GENERO,ESTRATO,NOMBRE_ESTADO,ORIGEN_GEOGRAFICO,LUGAR_EXPEDICION,tipo_desercion,edad
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN EDUCACION,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1976-03-20,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,DUITAMA,DUITAMA,LIT. A,48
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN EDUCACION,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1977-10-22,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,SOATÁ,SOATÁ,LIT. B,47
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN HISTORIA,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1996-07-17,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,SOCHA,SOCHA,LIT. A,28
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN LITERATURA,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1988-11-08,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,CÚCUTA,CÚCUTA,LIT. A,36
PRIMER SEMESTRE 2020,DERECHO Y CIENCIAS  SOCIALES,MAESTRIA EN DERECHOS HUMANOS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1992-10-28,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BERBEO,TUNJA,LIT. A,32
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,ESPECIALIZACION EN ALTA GERENCIA DE EMPRESAS,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1991-03-31,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BARBOSA,BUCARAMANGA,LIT. A,33
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,MAESTRIA EN DIDACTICA DE LA MATEMATICA,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1979-01-13,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,QUETAME,QUETAME,LIT. A,45
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,MAESTRIA EN DIDACTICA DE LA MATEMATICA,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1986-10-21,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,MONGUA,SOGAMOSO,LIT. A,38
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN BASES DE DATOS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1994-02-11,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,OROCUÉ,SOGAMOSO,LIT. B,30
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN BASES DE DATOS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1990-09-29,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,SOGAMOSO,SOGAMOSO,LIT. A,34
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN ESTRUCTURAS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1983-09-06,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BUCARAMANGA,BUCARAMANGA,LIT. A,41
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN ESTRUCTURAS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1984-03-28,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BOGOTÁ D.C.,BOGOTÁ D.C.,LIT. A,40
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN ESTRUCTURAS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1990-03-26,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,PUENTE NACIONAL,BARBOSA,LIT. A,34
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN ESTRUCTURAS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1988-05-10,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,PÁEZ,TUNJA,LIT. A,36
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN GERENCIA DE PROYECTOS DE CONSTRUCCION,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1991-08-19,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,TUNJA,TUNJA,LIT. A,33
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN TRANSITO Y TRANSPORTE,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1991-09-15,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,TUNJA,NUEVO COLÓN,LIT. A,33
PRIMER SEMESTRE 2020,SECCIONAL DUITAMA,ESPECIALIZACION EN GESTION ESTRATEGICA DE PROYECTOS,DIURNA - NOCTURA,PRESENCIAL,DUITAMA,C.C.,1992-09-06,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,DUITAMA,DUITAMA,LIT. A,32
PRIMER SEMESTRE 2020,SECCIONAL SOGAMOSO,ESPECIALIZACION EN INGENIERIA DE PRODUCCION Y OPERACIONES,DIURNA - NOCTURA,PRESENCIAL,SOGAMOSO,C.C.,1987-05-27,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,TUNJA,TUNJA,LIT. A,37
PRIMER SEMESTRE 2020,SECCIONAL SOGAMOSO,ESPECIALIZACION EN INGENIERIA DE PRODUCCION Y OPERACIONES,DIURNA - NOCTURA,PRESENCIAL,SOGAMOSO,C.C.,1992-12-11,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,SANTA ROSA DE VITERBO,DUITAMA,LIT. A,32
PRIMER SEMESTRE 2020,SECCIONAL SOGAMOSO,"MAESTRIA EN SEGURIDAD Y SALUD EN EL TRABAJO, ENFASIS EN HIGIENE Y SEGURIDAD INDUSTRIAL",DIURNA - NOCTURA,PRESENCIAL,SOGAMOSO,C.C.,1981-02-02,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,TUNJA,TUNJA,LIT. A,43
PRIMER SEMESTRE 2020,SECCIONAL TUNJA,TECNICO PROFESIONAL EN INSTALACION Y MANTENIMIENTO DE REDES Y COMPUTADORES,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,2000-09-06,F,SIN INFORMACIÓN,PERDIO CUPO A130/98 ART. 80 LIT. B,PAIPA,PAIPA,LIT. B,24
PRIMER SEMESTRE 2020,SECCIONAL TUNJA,TECNICO PROFESIONAL EN INSTALACION Y MANTENIMIENTO DE REDES Y COMPUTADORES,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,2002-10-27,F,SIN INFORMACIÓN,PERDIO CUPO A130/98 ART. 80 LIT. B,PAIPA,PAIPA,LIT. B,22
PRIMER SEMESTRE 2020,SECCIONAL CHIQUINQUIRA,TECNICA PROFESIONAL EN PROCESOS AGROINDUSTRIALES,DIURNA - NOCTURA,VIRTUAL,CHIQUINQUIRA,C.C.,2004-02-16,M,SIN INFORMACIÓN,PERDIO CUPO A130/98 ART. 80 LIT. B,CALDAS,CALDAS,LIT. B,20
PRIMER SEMESTRE 2020,SECCIONAL CHIQUINQUIRA,TECNICA PROFESIONAL EN PROCESOS AGROINDUSTRIALES,DIURNA - NOCTURA,VIRTUAL,CHIQUINQUIRA,C.C.,2003-01-13,M,SIN INFORMACIÓN,PERDIO CUPO A130/98 ART. 80 LIT. B,CALDAS,CALDAS,LIT. B,21
SEGUNDO SEMESTRE DE 2020,CIENCIAS AGROPECUARIAS,MAESTRIA EN CIENCIAS VETERINARIAS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1988-06-02,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BOGOTÁ D.C.,BOGOTÁ D.C.,LIT. A,36
SEGUNDO SEMESTRE DE 2020,CIENCIAS AGROPECUARIAS,MAESTRIA EN CIENCIAS VETERINARIAS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1990-03-28,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,TUNJA,TUNJA,LIT. A,34
SEGUNDO SEMESTRE DE 2020,CIENCIAS DE LA EDUCACION,DOCTORADO EN LENGUAJE Y CULTURA,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1964-12-05,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,CHIQUINQUIRÁ,CHIQUINQUIRÁ,LIT. A,60
SEGUNDO SEMESTRE DE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN EDUCACION,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1984-11-14,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BOGOTA D.E,TUNJA,LIT. A,40
SEGUNDO SEMESTRE DE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN HISTORIA,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1995-12-27,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,NEIVA,VILLA DE LEYVA,LIT. A,29
SEGUNDO SEMESTRE DE 2020,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,MAESTRIA EN ECONOMIA,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1987-02-21,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,DUITAMA,DUITAMA,LIT. B,37
SEGUNDO SEMESTRE DE 2020,DERECHO Y CIENCIAS  SOCIALES,MAESTRIA EN DERECHOS HUMANOS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1982-06-22,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,TUNJA,TUNJA,LIT. A,42
SEGUNDO SEMESTRE DE 2020,ESTUDIOS A DISTANCIA,ESPECIALIZACION EN ALTA GERENCIA DE EMPRESAS,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1992-12-29,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,AGUAZUL,DUITAMA,LIT. A,32
SEGUNDO SEMESTRE DE 2020,ESTUDIOS A DISTANCIA,ESPECIALIZACION EN ALTA GERENCIA DE EMPRESAS,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1993-06-25,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BOGOTA D.E,BOGOTÁ D.C.,LIT. A,31
SEGUNDO SEMESTRE DE 2020,ESTUDIOS A DISTANCIA,ESPECIALIZACION EN ALTA GERENCIA DE EMPRESAS,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1993-06-07,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,BOGOTÁ D.C.,TUNJA,LIT. B,31
SEGUNDO SEMESTRE DE 2020,ESTUDIOS A DISTANCIA,MAESTRIA EN DIDACTICA DE LA MATEMATICA,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1991-10-11,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,SAN ANDRÉS,SAN ANDRÉS,LIT. A,33
SEGUNDO SEMESTRE DE 2020,ESTUDIOS A DISTANCIA,MAESTRIA EN DIDACTICA DE LA MATEMATICA,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1985-11-14,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,QUIBDÓ,QUIBDÓ,LIT. A,39
SEGUNDO SEMESTRE DE 2020,ESTUDIOS A DISTANCIA,MAESTRIA EN DIDACTICA DE LA MATEMATICA,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1971-09-21,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.C.,MONTERREY,MONTERREY,LIT. C,53
SEGUNDO SEMESTRE DE 2020,INGENIERIA,ESPECIALIZACION EN GESTION DE INTEGRIDAD Y CORROSIÓN,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1992-08-26,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,AGUAZUL,AGUAZUL,LIT. A,32
SEGUNDO SEMESTRE DE 2020,INGENIERIA,MAESTRIA EN GEOTECNIA,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1991-04-16,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,VALLEDUPAR,VALLEDUPAR,LIT. A,33
SEGUNDO SEMESTRE DE 2020,INGENIERIA,MAESTRIA EN INGENIERIA AMBIENTAL,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1976-06-18,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,TUNJA,TUNJA,LIT. B,48
SEGUNDO SEMESTRE DE 2020,INGENIERIA,MAESTRIA EN INGENIERIA AMBIENTAL,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1990-03-30,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,ARAUCA,YOPAL,LIT. A,34
SEGUNDO SEMESTRE DE 2020,INGENIERIA,MAESTRIA EN INGENIERIA AMBIENTAL,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1984-04-06,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,TUNJA,TUNJA,LIT. B,40
SEGUNDO SEMESTRE DE 2020,SECCIONAL DUITAMA,ESPECIALIZACIÓN EN INFORMÁTICA PARA LA DOCENCIA,DIURNA - NOCTURA,PRESENCIAL,DUITAMA,C.C.,1982-07-09,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,DUITAMA,DUITAMA,LIT. A,42
SEGUNDO SEMESTRE DE 2020,SECCIONAL SOGAMOSO,"MAESTRIA EN SEGURIDAD Y SALUD EN EL TRABAJO, ENFASIS EN HIGIENE Y SEGURIDAD INDUSTRIAL",DIURNA - NOCTURA,PRESENCIAL,SOGAMOSO,C.C.,1977-03-04,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,TUNJA,TUNJA,LIT. B,47
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,Diurna,Presencial,TUNJA,C.C.,1998-03-03,F,2,PERDIO CUPO A130/98 ART. 80 LIT. B,BOGOTÁ D.C.,BOGOTÁ D.C.,LIT. B,26
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,Diurna,Presencial,TUNJA,C.C.,1997-05-10,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B,PAIPA,PAIPA,LIT. B,27
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,Diurna,Presencial,TUNJA,C.C.,1997-09-02,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B,DUITAMA,DUITAMA,LIT. B,27
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,Diurna,Presencial,TUNJA,C.C.,1995-06-10,M,1,PERDIO CUPO A130/98 ART. 80 LIT. C,ARCABUCO,ARCABUCO,LIT. C,29
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,Diurna,Presencial,TUNJA,C.C.,1997-03-03,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B,SOGAMOSO,MONGUÍ,LIT. B,27
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,Diurna,Presencial,TUNJA,C.C.,2000-03-13,M,1,PERDIO CUPO A130/98 ART. 80 LIT. C,BOGOTÁ D.C.,FACATATIVÁ,LIT. C,24
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,Diurna,Presencial,TUNJA,T.I.,2003-02-03,M,3,PERDIO CUPO A130/98 ART. 80 LIT. B,VILLAVICENCIO,VILLAVICENCIO,LIT. B,21
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,Diurna,Presencial,TUNJA,C.C.,2001-05-23,F,3,PERDIO CUPO A130/98 ART. 80 LIT. C,BOGOTÁ D.C.,BOGOTA D.E,LIT. C,23
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,Diurna,Presencial,TUNJA,C.C.,2000-04-28,F,4,PERDIO CUPO A130/98 ART.80 LIT. E,TUNJA,TUNJA,LIT. E,24
PRIMER  SEMESTRE DE 2021,CIENCIAS,FISICA,Diurna,Presencial,TUNJA,C.C.,2001-03-28,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B,BOGOTÁ D.C.,BOGOTÁ D.C.,LIT. B,23
PRIMER  SEMESTRE DE 2021,CIENCIAS,BIOLOGIA,Diurna,Presencial,TUNJA,C.C.,1999-02-28,M,3,PERDIO CUPO A130/98 ART. 80 LIT. B,TUNJA,TUNJA,LIT. B,25
PRIMER  SEMESTRE DE 2021,CIENCIAS,BIOLOGIA,Diurna,Presencial,TUNJA,C.C.,2001-05-20,M,3,PERDIO CUPO A130/98 ART. 80 LIT. B,TUNJA,TUNJA,LIT. B,23
PRIMER  SEMESTRE DE 2021,CIENCIAS,BIOLOGIA,Diurna,Presencial,TUNJA,T.I.,2000-12-22,F,1,PERDIO CUPO A130/98 ART. 80 LIT. C,BOGOTÁ D.C.,BOGOTÁ D.C.,LIT. C,24
PRIMER  SEMESTRE DE 2021,CIENCIAS,BIOLOGIA,Diurna,Presencial,TUNJA,C.C.,1994-11-23,M,1,PERDIO CUPO A130/98 ART. 80 LIT. D,BOGOTA D.E,SIACHOQUE,LIT. D,30
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,Diurna,Presencial,TUNJA,T.I.,2001-09-10,M,1,PERDIO CUPO A130/98 ART. 80 LIT. C,CHIPATÁ,VÉLEZ,LIT. C,23
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,Diurna,Presencial,TUNJA,T.I.,2002-07-27,M,1,PERDIO CUPO A130/98 ART. 80 LIT. C,TAURAMENA,TAURAMENA,LIT. C,22
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,Diurna,Presencial,TUNJA,C.C.,1999-11-03,F,2,PERDIO CUPO A130/98 ART.80 LIT. E,CHIQUINQUIRÁ,CHIQUINQUIRÁ,LIT. E,25
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,Diurna,Presencial,TUNJA,C.C.,1997-03-03,M,3,PERDIO CUPO A130/98 ART. 80 LIT. C,GIGANTE,TUNJA,LIT. C,27
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,Diurna,Presencial,TUNJA,C.C.,2001-06-24,F,3,PERDIO CUPO A130/98 ART. 80 LIT. B,TUNJA,TUNJA,LIT. B,23
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,Diurna,Presencial,TUNJA,C.C.,2000-03-15,M,1,PERDIO CUPO A130/98 ART. 80 LIT. B,VILLANUEVA,VILLANUEVA,LIT. B,24
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,Diurna,Presencial,TUNJA,C.C.,2001-05-23,F,1,PERDIO CUPO A130/98 ART. 80 LIT. B,TUNJA,TUNJA,LIT. B,23
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,Diurna,Presencial,TUNJA,C.C.,1998-05-18,F,2,PERDIO CUPO A130/98 ART. 80 LIT. C,CHOCONTÁ,CHOCONTÁ,LIT. C,26
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,Diurna,Presencial,TUNJA,C.C.,1977-06-21,M,2,PERDIO CUPO A130/98 ART.80 LIT. E,BOGOTÁ D.C.,BOGOTÁ D.C.,LIT. E,47
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,Diurna,Presencial,TUNJA,C.C.,2002-06-06,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B,TUNJA,TUNJA,LIT. B,22
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,Diurna,Presencial,TUNJA,C.C.,2001-01-13,F,2,PERDIO CUPO A130/98 ART. 80 LIT. C,PURIFICACIÓN,TUNJA,LIT. C,23
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,Diurna,Presencial,TUNJA,C.C.,1997-10-31,M,1,PERDIO CUPO A130/98 ART. 80 LIT. C,PAZ DE ARIPORO,PAZ DE ARIPORO,LIT. C,27
PRIMER  SEMESTRE DE 2021,CIENCIAS,MATEMATICAS,Diurna,Presencial,TUNJA,T.I.,2001-09-19,M,1,PERDIO CUPO A130/98 ART. 80 LIT. C,ARAUCA,ARAUCA,LIT. C,23
PRIMER  SEMESTRE DE 2021,CIENCIAS,QUIMICA,Diurna,Presencial,TUNJA,C.C.,1994-07-23,M,4,PERDIO CUPO A130/98 ART. 80 LIT. C,TUNJA,TUNJA,LIT. C,30
PRIMER  SEMESTRE DE 2021,CIENCIAS,QUIMICA,Diurna,Presencial,TUNJA,C.C.,2001-08-12,M,2,PERDIO CUPO A130/98 ART. 80 LIT. C,MANÍ,BOGOTA D.E,LIT. C,23
PRIMER  SEMESTRE DE 2021,CIENCIAS,QUIMICA,Diurna,Presencial,TUNJA,C.C.,2001-06-27,M,3,PERDIO CUPO A130/98 ART.80 LIT. E,VILLAVICENCIO,TUNJA,LIT. E,23
PRIMER  SEMESTRE DE 2021,CIENCIAS,QUIMICA,Diurna,Presencial,TUNJA,C.C.,2001-06-30,F,3,PERDIO CUPO A130/98 ART. 80 LIT. C,DUITAMA,SOGAMOSO,LIT. C,23
PRIMER  SEMESTRE DE 2021,CIENCIAS,QUIMICA,Diurna,Presencial,TUNJA,C.C.,2000-07-14,M,3,PERDIO CUPO A130/98 ART. 80 LIT. C,YOPAL,YOPAL,LIT. C,24
PRIMER  SEMESTRE DE 2021,CIENCIAS,QUIMICA,Diurna,Presencial,TUNJA,T.I.,2002-11-19,M,1,PERDIO CUPO A130/98 ART. 80 LIT. B,DUITAMA,DUITAMA,LIT. B,22
PRIMER  SEMESTRE DE 2021,CIENCIAS,QUIMICA,Diurna,Presencial,TUNJA,C.C.,1996-05-31,M,1,PERDIO CUPO A130/98 ART.80 LIT. E,MEDINA,MEDINA,LIT. E,28
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,INGENIERIA AGRONOMICA,Diurna,Presencial,TUNJA,C.C.,1997-06-12,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B,RAMIRIQUÍ,RAMIRIQUÍ,LIT. B,27
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,INGENIERIA AGRONOMICA,Diurna,Presencial,TUNJA,C.C.,2000-02-22,M,2,PERDIO CUPO A130/98 ART. 80 LIT. C,NATAGAIMA,TUNJA,LIT. C,24
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,INGENIERIA AGRONOMICA,Diurna,Presencial,TUNJA,C.C.,1999-01-13,F,2,PERDIO CUPO A130/98 ART. 80 LIT. B,TIBASOSA,TUNJA,LIT. B,25
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,INGENIERIA AGRONOMICA,Diurna,Presencial,TUNJA,C.C.,1997-06-06,M,1,PERDIO CUPO A130/98 ART.80 LIT. E,MADRID,MIRAFLORES,LIT. E,27
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,INGENIERIA AGRONOMICA,Diurna,Presencial,TUNJA,C.C.,2000-05-31,M,1,PERDIO CUPO A130/98 ART. 80 LIT. C,QUÍPAMA,QUÍPAMA,LIT. C,24
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,INGENIERIA AGRONOMICA,Diurna,Presencial,TUNJA,C.C.,2000-05-23,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B,SOGAMOSO,SOGAMOSO,LIT. B,24
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,Diurna,Presencial,TUNJA,C.C.,1999-10-14,M,1,PERDIO CUPO A130/98 ART. 80 LIT. C,CHITARAQUE,TUNJA,LIT. C,25
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,Diurna,Presencial,TUNJA,C.C.,2000-06-21,M,2,PERDIO CUPO A130/98 ART. 80 LIT. B,TUNJA,TUNJA,LIT. B,24
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,Diurna,Presencial,TUNJA,C.C.,2001-03-09,F,3,PERDIO CUPO A130/98 ART. 80 LIT. B,BOGOTÁ D.C.,BOGOTÁ D.C.,LIT. B,23
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,Diurna,Presencial,TUNJA,T.I.,2002-10-06,M,1,PERDIO CUPO A130/98 ART. 80 LIT. B,FORTUL,FORTUL,LIT. B,22
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,Diurna,Presencial,TUNJA,C.C.,2000-08-10,F,2,PERDIO CUPO A130/98 ART. 80 LIT. B,BOGOTÁ D.C.,BOGOTÁ D.C.,LIT. B,24
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,Diurna,Presencial,TUNJA,C.C.,1997-09-22,M,3,PERDIO CUPO A130/98 ART. 80 LIT. B,LANDÁZURI,TUNJA,LIT. B,27
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,Diurna,Presencial,TUNJA,C.C.,1997-10-05,M,1,PERDIO CUPO A130/98 ART. 80 LIT. B,EL ESPINO,TUNJA,LIT. B,27
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,Diurna,Presencial,TUNJA,C.C.,1997-08-18,M,3,PERDIO CUPO A130/98 ART. 80 LIT. C,BOGOTA D.E,FUNZA,LIT. C,27
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,Diurna,Presencial,TUNJA,T.I.,2001-07-21,M,2,PERDIO CUPO A130/98 ART. 80 LIT. C,TUNJA,TUNJA,LIT. C,23
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,MEDICINA VETERINARIA Y ZOOTECNIA,Diurna,Presencial,TUNJA,C.C.,2000-06-21,M,2,PERDIO CUPO A130/98 ART. 80 LIT. C,DUITAMA,BELÉN,LIT. C,24
PRIMER  SEMESTRE DE 2021,CIENCIAS AGROPECUARIAS,MAESTRIA EN DESARROLLO RURAL,Otra,Presencial,TUNJA,C.C.,1986-08-31,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,SOGAMOSO,TUNJA,LIT. A,38
